video_id,video_title,channel_title,channel_id,thumbnail_url,view_cnt,body_part
12fRuoMWT0w,"매일 15분! 짧지만 강력한 11자 복근운동- 단기간 뱃살빼기, 요가 스트레칭, 여자 복근운동 (15min abs workout, side workout at home)","소피요가 Sophie Yoga",UCX-b_iGRXP7k4UZaAPtrcWA,https://i.ytimg.com/vi/12fRuoMWT0w/default.jpg,0,복부
17MrdgkVSzM,"🔥하루 5분🔥 짧고 굵게 전신운동루틴",힙으뜸,UC4yq3FWEWqMvFNFBsV3gbKQ,https://i.ytimg.com/vi/17MrdgkVSzM/default.jpg,0,전신
1arbpeSoFdE,"(재업)등운동 순위. 피지크의 넓은 등을 만들기 위해 반드시 해야될 등 운동은?","피지크 왕국- Physique Kingdom",UCNtE3teGEnFZBwIT3-m9tPQ,https://i.ytimg.com/vi/1arbpeSoFdE/default.jpg,0,등
1BJSBBi0ios,"김승민 나바 출격전 마지막 가슴운동 풀버전 (헤비급의 가슴훈련)",야생마,UCJYdXaZ-6HK7mzacgas56Dg,https://i.ytimg.com/vi/1BJSBBi0ios/default.jpg,0,가슴
1CtwmgQVroY,"[lil-로그]  대표와 직원의 수평적 관계 MZ하체 운동 법 episode-13","리틀 성엽",UC4Hdu68t2vXF3cw7-a64GgQ,https://i.ytimg.com/vi/1CtwmgQVroY/default.jpg,0,하체
1Dlt-G8qYn4,"효과적인 &#39;어깨뽕&#39; 만드는 운동 꿀팁 #shorts","운동을 좋아하는 사람들",UCsiyaBoXyVPkjBoAlGhBy7w,https://i.ytimg.com/vi/1Dlt-G8qYn4/default.jpg,0,어깨
1dPrGEUuwdU,"EP.7 | 꼭 필요한 하체운동 3가지 | 빗살무늬 | 하체 | 노하우 | 세계챔피언 | 류제형","류제형 [보디빌딩 국가대표]",UC5fkpkTuw108rwYc3Uufamg,https://i.ytimg.com/vi/1dPrGEUuwdU/default.jpg,0,하체
1LXVLv6v3rI,"(요가은) 15분 등운동 / 건강한척추, 탄탄한등근육",요가은YoGaEun,UCzfoIbslSwEjlFdFRvh3RLg,https://i.ytimg.com/vi/1LXVLv6v3rI/default.jpg,0,등
1mW7GAgJP8g,"하체운동의 키, 고관절 가동범위 (Create range of motion for the hip joint. Lower Body Mobility)",뭉트니스,UChZkOHAMvjXwVtFjoMSiLWQ,https://i.ytimg.com/vi/1mW7GAgJP8g/default.jpg,0,하체
1Nb48AHrhaQ,"무조건 살 빠지는 걷기 다이어트 20분 전신운동 l 따라하기 쉬운 다이어트 댄스",엄마TV,UC_WKnI3SagAHx3Z0ApjTo3Q,https://i.ytimg.com/vi/1Nb48AHrhaQ/default.jpg,0,전신
1NzSml3vMZA,"헬린이와 직장인을 위한 1시간 가슴 + 등 운동방법","김명섭의 헬스교실",UCc5mVNF4R6ywMqbty91J0rQ,https://i.ytimg.com/vi/1NzSml3vMZA/default.jpg,0,가슴
1QZdfTXuTXw,"스피드 스케이팅 선수들은 어떤 하체 운동을 할까? (덴마크 국가대표 하체 운동 4가지)",쇠질박사,UCXhuJk-RrTYPLfK-pOFCvag,https://i.ytimg.com/vi/1QZdfTXuTXw/default.jpg,0,하체
1THvclUD4ww,"복부 물렁이들 타파! 누워서 300초만에 뽀개는 복근운동 (뱃살운동)ㅣ다노티비",DanoTV,UCxM_KJ601hwrOpjVC07iMVQ,https://i.ytimg.com/vi/1THvclUD4ww/default.jpg,0,복부
1uJV1ZmzeoI,"하루 7분! 허리둘레 5cm 줄어드는 운동","Thankyou BUBU",UCpg89Ys3E4BaLGgEEWVmI9g,https://i.ytimg.com/vi/1uJV1ZmzeoI/default.jpg,0,복부
1um6Al1KJ6k,"밴드 전신운동 30분! 쭉쭉 당기며 탄력살리는 다이어트해요 /밴드요가","요가테라스 Yogaterrace",UC7RHIUypmydTGNnGuxYBbBw,https://i.ytimg.com/vi/1um6Al1KJ6k/default.jpg,0,전신
1wAUZZUyk1Y,"10분만 투자해주세요 제발.. 전신운동편 (폭식한사람들 모여라)","따라하면 몸이 좋아지는 채널, 고러쉬",UCB7A0Php3CJg4uH4HavVy-w,https://i.ytimg.com/vi/1wAUZZUyk1Y/default.jpg,0,전신
1XNUeSafsLk,"어깨운동 프론트프레스시 반드시 이곳에 힘을!!ㅡ김명섭과 함께 하는 재미있는 해부학적 운동방법","김명섭의 헬스교실",UCc5mVNF4R6ywMqbty91J0rQ,https://i.ytimg.com/vi/1XNUeSafsLk/default.jpg,0,어깨
20AyvR866Fg,"새로운 등 끝판왕 등장 | 2021미스터부산 김건우 등 운동",개근질닷컴GGJ,UCEZVpfgaHLcWt5dMCOOy82A,https://i.ytimg.com/vi/20AyvR866Fg/default.jpg,0,등
28bk23VdrfI,"[R.T.O 4화] 선수라면 무대 위에서",Allright24_박재훈,UCyqD2niH4wkYYP9RJvJWpdQ,https://i.ytimg.com/vi/28bk23VdrfI/default.jpg,0,등
2G_P1Y9UG0Q,"[Eng/ 매일 3분 복근 챌린지] 쉬운 동작+자극 200%🔥 뱃살다이어트 복근운동 고민 끝내고 3분만!ㅣ다노티비",DanoTV,UCxM_KJ601hwrOpjVC07iMVQ,https://i.ytimg.com/vi/2G_P1Y9UG0Q/default.jpg,0,복부
2i38gvv7bQE,"사무실에서 하는 복근 운동 BEST3 (의자에 앉아서 하는 복근 운동)","발레테라핏 Ballet Thera Fit",UCcmCbG1-TDwpJwosHt8QP5A,https://i.ytimg.com/vi/2i38gvv7bQE/default.jpg,0,복부
2ifuREJgsHA,"전신운동 5분!! 일단 해보면 압니다🔥100%효과보장/매일오전,오후운동루틴","강하나 스트레칭_stretching",UCxHcczukcG21up2MBe8yP_Q,https://i.ytimg.com/vi/2ifuREJgsHA/default.jpg,0,전신
2iTs7gtsCsw,"폼롤러 전신운동 개인레슨｜물 흐르듯이 온몸을 자극하는 25분 루틴",빵느,UCRrZ5RYIalHLiHq5ftzxM6A,https://i.ytimg.com/vi/2iTs7gtsCsw/default.jpg,0,전신
2JElkwMLoS0,"어좁이 탈출을 도와준 등+어깨 운동루틴",만재ManJaeTv,UC6HC9jI3iukjMhHg00UJDPw,https://i.ytimg.com/vi/2JElkwMLoS0/default.jpg,0,어깨
2K2WCGstHOY,"도대체 랫풀다운은 어떻게 하는 건가요? || 랫풀다운 제대로 하기",강경원,UCuwyPNJScQ5luAV7b8juFfg,https://i.ytimg.com/vi/2K2WCGstHOY/default.jpg,0,등
